Performance Statistics   2020-05-05 14:56:00 - 2020-05-05 14:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
teststp_Debitor.browse#uiPermissions                     0.0           0           0         0.0           1
teststp_Debitor.browse#xml                               1.0           1           1         0.0           1

Performance Statistics   2020-05-05 15:50:00 - 2020-05-05 15:52:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-05 15:52:00 - 2020-05-05 15:54:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-05 15:54:00 - 2020-05-05 15:56:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-05 15:56:00 - 2020-05-05 15:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-05 15:58:00 - 2020-05-05 16:00:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-05 16:00:00 - 2020-05-05 16:02:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-05 16:02:00 - 2020-05-05 16:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-05 16:04:00 - 2020-05-05 16:06:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-05 16:06:00 - 2020-05-05 16:08:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2020-05-05 16:08:00 - 2020-05-05 16:10:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
login#afterShow                                          0.0           0           0         0.0           1
login#beforeShow                                         3.0           3           3         0.0           1
login#create                                           209.0         209         209         0.0           1
login#init                                              34.0          34          34         0.0           1
login#inject                                            59.0          59          59         0.0           1
login#load                                             696.0         696         696         0.0           1
login#uiPermissions                                      1.0           1           1         0.0           1
login#xml                                               14.0          14          14         0.0           1
main#afterShow                                          11.0          11          11         0.0           1
main#beforeShow                                          0.0           0           0         0.0           1
main#create                                             26.0          26          26         0.0           1
main#init                                               24.0          24          24         0.0           1
main#inject                                             11.0          11          11         0.0           1
main#load                                              304.0         304         304         0.0           1
main#uiPermissions                                       0.0           0           0         0.0           1
main#xml                                                 6.0           6           6         0.0           1

Performance Statistics   2020-05-05 16:22:00 - 2020-05-05 16:24:00
