Performance Statistics   2020-05-02 15:54:00 - 2020-05-02 15:56:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.report$Report.browse                         1875.0        1875        1875         0.0           1
bandEditor#create                                      281.0         281         281         0.0           1
bandEditor#xml                                           2.5           0           5         2.5           2
formatsFrame#create                                     25.0          25          25         0.0           1
formatsFrame#xml                                         1.0           0           2         1.0           2
generalFrame#create                                    760.0         760         760         0.0           1
generalFrame#xml                                         2.0           0           4         2.0           2
localesFrame#create                                     21.0          21          21         0.0           1
localesFrame#xml                                         4.0           0           8         4.0           2
login#afterShow                                          0.0           0           0         0.0           2
login#beforeShow                                         1.5           0           3         1.5           2
login#create                                            97.0           5         189        92.0           2
login#init                                              43.0          27          59        16.0           2
login#inject                                            27.0           0          54        27.0           2
login#load                                             332.0          43         621       289.0           2
login#uiPermissions                                      1.0           0           2         1.0           2
login#xml                                                7.5           0          15         7.5           2
lookupWindowActions#create                              29.0          29          29         0.0           1
lookupWindowActions#inject                              13.0          13          13         0.0           1
lookupWindowActions#load                                12.0          12          12         0.0           1
lookupWindowActions#xml                                  1.5           0           3         1.5           2
main#afterShow                                          12.0          12          12         0.0           1
main#beforeShow                                          0.0           0           0         0.0           1
main#create                                             26.0          26          26         0.0           1
main#init                                               24.0          24          24         0.0           1
main#inject                                             10.0          10          10         0.0           1
main#load                                              289.0         289         289         0.0           1
main#uiPermissions                                       0.0           0           0         0.0           1
main#xml                                                 3.0           3           3         0.0           1
parametersFrame#create                                  47.0          47          47         0.0           1
parametersFrame#xml                                      1.0           0           2         1.0           2
report$Report.browse#afterShow                           0.0           0           0         0.0           1
report$Report.browse#beforeShow                          0.0           0           0         0.0           1
report$Report.browse#create                             36.0          36          36         0.0           1
report$Report.browse#init                               17.0          17          17         0.0           1
report$Report.browse#inject                             45.0          45          45         0.0           1
report$Report.browse#load                              883.0         883         883         0.0           1
report$Report.browse#uiPermissions                       0.0           0           0         0.0           1
report$Report.browse#xml                                 2.0           0           4         2.0           2
report$Report.browse.lookupWindowActions#init            0.0           0           0         0.0           1
report$Report.browse@reportDs                          634.0         634         634         0.0           1
report$Report.edit#afterShow                             0.0           0           0         0.0           1
report$Report.edit#beforeShow                           10.0          10          10         0.0           1
report$Report.edit#companion                             0.0           0           0         0.0           1
report$Report.edit#create                               10.0          10          10         0.0           1
report$Report.edit#init                                535.0         535         535         0.0           1
report$Report.edit#inject                               38.0          38          38         0.0           1
